name,disease,mnemonic,diseaseName
"SCN2A",http://purl.uniprot.org/diseases/2993,"EIEE11","An autosomal dominant seizure disorder characterized by infantile onset of refractory seizures with resultant delayed neurologic development and persistent neurologic abnormalities."
"PLCB1",http://purl.uniprot.org/diseases/2994,"EIEE12","A form of epilepsy characterized by frequent tonic seizures or spasms beginning in infancy with a specific EEG finding of suppression-burst patterns, characterized by high-voltage bursts alternating with almost flat suppression phases. Patients may progress to West syndrome, which is characterized by tonic spasms with clustering, arrest of psychomotor development, and hypsarrhythmia on EEG."
"SCN8A",http://purl.uniprot.org/diseases/3398,"EIEE13","A form of epilepsy characterized by frequent tonic seizures or spasms beginning in infancy with a specific EEG finding of suppression-burst patterns, characterized by high-voltage bursts alternating with almost flat suppression phases. Patients may progress to West syndrome, which is characterized by tonic spasms with clustering, arrest of psychomotor development, and hypsarrhythmia on EEG. EIEE13 is a severe form consisting of early-onset seizures, features of autism, intellectual disability, ataxia, and sudden unexplained death in epilepsy."
"KCNT1",http://purl.uniprot.org/diseases/3632,"EIEE14","A rare epileptic encephalopathy of infancy that combines pharmacoresistant seizures with developmental delay. This severe neurologic disorder is characterized by onset in the first 6 months of life of refractory focal seizures and arrest of psychomotor development. Ictal EEG shows discharges that arise randomly from various areas of both hemispheres and migrate from one brain region to another."
"ST3GAL3",http://purl.uniprot.org/diseases/3664,"EIEE15","A form of epilepsy that manifests in the neonatal or the early infantile period as severely impaired cognitive and motor development, due to recurrent clinical seizures or prominent interictal epileptiform discharges. Patients develop infantile spasms, mainly of the flexor type, between 3 and 7 months of age, which are accompanied by hypsarrhythmia on EEG. Other features include poor eye contact, hypotonia, primitive reflexes, and irritability. Seizures evolve clinically to Lennox-Gastaut syndrome."
"MAPK10",http://purl.uniprot.org/diseases/2822,"EELG","A childhood disorder characterized by a combination of seizures, usually including atypical absence seizures, tonic seizures, atonic or astatic seizures, and mental retardation."
"KCNA1",http://purl.uniprot.org/diseases/475,"EA1","An autosomal dominant disorder characterized by brief episodes of ataxia and dysarthria. Neurological examination during and between the attacks demonstrates spontaneous, repetitive discharges in the distal musculature (myokymia) that arise from peripheral nerve. Nystagmus is absent."
"CACNA1A",http://purl.uniprot.org/diseases/476,"EA2","An autosomal dominant disorder characterized by acetozolamide-responsive attacks of ataxia, migraine-like symptoms, interictal nystagmus, and cerebellar atrophy."
"CACNB4",http://purl.uniprot.org/diseases/3073,"EA5","A disorder characterized by episodes of vertigo and ataxia that last for several hours. Interictal examination show spontaneous downbeat and gaze-evoked nystagmus, mild dysarthria and truncal ataxia."
"SLC1A3",http://purl.uniprot.org/diseases/477,"EA6","A disorder characterized by episodic ataxia, seizures, migraine and alternating hemiplegia."
"PRRT2",http://purl.uniprot.org/diseases/3309,"EKD1","An autosomal dominant neurologic condition characterized by recurrent and brief attacks of abnormal involuntary movements, triggered by sudden voluntary movement. These attacks usually have onset during childhood or early adulthood and can involve dystonic postures, chorea, or athetosis."
"TRPA1",http://purl.uniprot.org/diseases/3683,"FEPS","An autosomal dominant neurologic disorder characterized by onset in infancy of episodic debilitating upper body pain triggered by fasting, cold, and physical stress. The period of intense pain is accompanied by breathing difficulties, tachycardia, sweating, generalized pallor, peribuccal cyanosis, and stiffness of the abdominal wall. Affected individuals do not manifest altered pain sensitivity outside the episodes."
"TMLHE",http://purl.uniprot.org/diseases/3482,"TMLHED","An inborn error of carnitine biosynthesis associated with an increased risk for developing autistic behavior. Autism is a complex multifactorial, pervasive developmental disorder characterized by impairments in reciprocal social interaction and communication, restricted and stereotyped patterns of interests and activities, and the presence of developmental abnormalities by 3 years of age. Most individuals with autism also manifest moderate mental retardation."
"MYH9",http://purl.uniprot.org/diseases/478,"EPS","An autosomal dominant disorder characterized by the association of macrothrombocytopathy, sensorineural hearing loss and nephritis."
"KRT10",http://purl.uniprot.org/diseases/2981,"CRIE","A rare skin condition characterized by slowly enlarging islands of normal skin surrounded by erythematous ichthyotic patches in a reticulated pattern. The condition starts in infancy as a lamellar ichthyosis, with small islands of normal skin resembling confetti appearing in late childhood and at puberty. Histopathologic findings include band-like parakeratosis, psoriasiform acanthosis, and vacuolization of keratinocytes with binucleated cells in the upper epidermis, sometimes associated with amyloid deposition in the dermis. Ultrastructural abnormalities include perinuclear shells formed from a network of fine filaments in the upper epidermis."
"GJB3",http://purl.uniprot.org/diseases/483,"EKV","A genodermatosis characterized by the appearance of two independent skin lesions: transient figurate erythematous patches and hyperkeratosis that is usually localized but occasionally occurs in its generalized form. Clinical presentation varies significantly within a family and from one family to another. Palmoplantar keratoderma is present in around 50% of cases."
"GJB4",http://purl.uniprot.org/diseases/483,"EKV","A genodermatosis characterized by the appearance of two independent skin lesions: transient figurate erythematous patches and hyperkeratosis that is usually localized but occasionally occurs in its generalized form. Clinical presentation varies significantly within a family and from one family to another. Palmoplantar keratoderma is present in around 50% of cases."
"FECH",http://purl.uniprot.org/diseases/484,"EPP","A form of porphyria. Porphyrias are inherited defects in the biosynthesis of heme, resulting in the accumulation and increased excretion of porphyrins or porphyrin precursors. They are classified as erythropoietic or hepatic, depending on whether the enzyme deficiency occurs in red blood cells or in the liver. Erythropoietic protoporphyria is marked by excessive protoporphyrin in erythrocytes, plasma, liver and feces, and by widely varying photosensitive skin changes ranging from a burning or pruritic sensation to erythema, edema and wheals."
"ALAS2",http://purl.uniprot.org/diseases/485,"XLDPT","A form of porphyria. Porphyrias are inherited defects in the biosynthesis of heme, resulting in the accumulation and increased excretion of porphyrins or porphyrin precursors. They are classified as erythropoietic or hepatic, depending on whether the enzyme deficiency occurs in red blood cells or in the liver. XLDPT is characterized biochemically by a high proportion of zinc-protoporphyrin in erythrocytes, in which a mismatch between protoporphyrin production and the heme requirement of differentiating erythroid cells leads to overproduction of protoporphyrin in amounts sufficient to cause photosensitivity and liver disease."
"DLEC1",http://purl.uniprot.org/diseases/1537,"ESCR","A malignancy of the esophagus. The most common types are esophageal squamous cell carcinoma and adenocarcinoma. Cancer of the esophagus remains a devastating disease because it is usually not detected until it has progressed to an advanced incurable stage."
"RNF6",http://purl.uniprot.org/diseases/1537,"ESCR","A malignancy of the esophagus. The most common types are esophageal squamous cell carcinoma and adenocarcinoma. Cancer of the esophagus remains a devastating disease because it is usually not detected until it has progressed to an advanced incurable stage."
"WWOX",http://purl.uniprot.org/diseases/1537,"ESCR","A malignancy of the esophagus. The most common types are esophageal squamous cell carcinoma and adenocarcinoma. Cancer of the esophagus remains a devastating disease because it is usually not detected until it has progressed to an advanced incurable stage."
"LZTS1",http://purl.uniprot.org/diseases/1537,"ESCR","A malignancy of the esophagus. The most common types are esophageal squamous cell carcinoma and adenocarcinoma. Cancer of the esophagus remains a devastating disease because it is usually not detected until it has progressed to an advanced incurable stage."
"TP53",http://purl.uniprot.org/diseases/1537,"ESCR","A malignancy of the esophagus. The most common types are esophageal squamous cell carcinoma and adenocarcinoma. Cancer of the esophagus remains a devastating disease because it is usually not detected until it has progressed to an advanced incurable stage."
"TGFBR2",http://purl.uniprot.org/diseases/1537,"ESCR","A malignancy of the esophagus. The most common types are esophageal squamous cell carcinoma and adenocarcinoma. Cancer of the esophagus remains a devastating disease because it is usually not detected until it has progressed to an advanced incurable stage."
"AGT",http://purl.uniprot.org/diseases/2647,"EHT","A condition in which blood pressure is consistently higher than normal with no identifiable cause."
"ERG",http://purl.uniprot.org/diseases/2610,"ES","A highly malignant, metastatic, primitive small round cell tumor of bone and soft tissue that affects children and adolescents. It belongs to the Ewing sarcoma family of tumors, a group of morphologically heterogeneous neoplasms that share the same cytogenetic features. They are considered neural tumors derived from cells of the neural crest. Ewing sarcoma represents the less differentiated form of the tumors."
"ETV1",http://purl.uniprot.org/diseases/2610,"ES","A highly malignant, metastatic, primitive small round cell tumor of bone and soft tissue that affects children and adolescents. It belongs to the Ewing sarcoma family of tumors, a group of morphologically heterogeneous neoplasms that share the same cytogenetic features. They are considered neural tumors derived from cells of the neural crest. Ewing sarcoma represents the less differentiated form of the tumors."
"EWSR1",http://purl.uniprot.org/diseases/2610,"ES","A highly malignant, metastatic, primitive small round cell tumor of bone and soft tissue that affects children and adolescents. It belongs to the Ewing sarcoma family of tumors, a group of morphologically heterogeneous neoplasms that share the same cytogenetic features. They are considered neural tumors derived from cells of the neural crest. Ewing sarcoma represents the less differentiated form of the tumors."
"FLI1",http://purl.uniprot.org/diseases/2610,"ES","A highly malignant, metastatic, primitive small round cell tumor of bone and soft tissue that affects children and adolescents. It belongs to the Ewing sarcoma family of tumors, a group of morphologically heterogeneous neoplasms that share the same cytogenetic features. They are considered neural tumors derived from cells of the neural crest. Ewing sarcoma represents the less differentiated form of the tumors."
"NR4A3",http://purl.uniprot.org/diseases/2610,"ES","A highly malignant, metastatic, primitive small round cell tumor of bone and soft tissue that affects children and adolescents. It belongs to the Ewing sarcoma family of tumors, a group of morphologically heterogeneous neoplasms that share the same cytogenetic features. They are considered neural tumors derived from cells of the neural crest. Ewing sarcoma represents the less differentiated form of the tumors."
"LOXL1",http://purl.uniprot.org/diseases/2667,"XFS","A disorder characterized by accumulation of abnormal fibrillar deposits in the anterior segment of the eye. In addition to being a cause of glaucoma and glaucomatous optic neuropathy, exfoliation syndrome has also been associated with lens zonule weakness, cataract formation, and systemic vascular complications due to deposition of exfoliation material in extraocular tissues."
"SPECC1L",http://purl.uniprot.org/diseases/3222,"OBLFC1","A rare form of facial clefting. A facial cleft is any of the fissures between the embryonic prominences that normally unite to form the face."
"POLE",http://purl.uniprot.org/diseases/3708,"FILS","A syndrome characterized by mild facial dysmorphism, mainly malar hypoplasia, livedo on the skin since birth, and immunodeficiency resulting in recurrent infections. Growth impairment is observed during early childhood and results in variable short stature in adulthood."
"HOXB1",http://purl.uniprot.org/diseases/3507,"HCFP3","A form of facial paresis, a disease characterized by isolated dysfunction of the facial nerve (CN VII). HCFP3 patients are affected by bilateral facial palsy, facial muscle weakness of muscles innervated by CN VII, hearing loss, and strabismus."
"HRAS",http://purl.uniprot.org/diseases/1437,"FCSS","A rare condition characterized by prenatally increased growth, postnatal growth deficiency, mental retardation, distinctive facial appearance, cardiovascular abnormalities (typically pulmonic stenosis, hypertrophic cardiomyopathy and/or atrial tachycardia), tumor predisposition, skin and musculoskeletal abnormalities."
"DUX4",http://purl.uniprot.org/diseases/1545,"FSHD1","A degenerative muscle disease characterized by slowly progressive weakness of the muscles of the face, upper-arm, and shoulder girdle. The onset of symptoms usually occurs in the first or second decade of life. Affected individuals usually present with impairment of upper extremity elevation. This tends to be followed by facial weakness, primarily involving the orbicularis oris and orbicularis oculi muscles."
"SMCHD1",http://purl.uniprot.org/diseases/3604,"FSHD2","A degenerative muscle disease characterized by slowly progressive weakness of the muscles of the face, upper-arm, and shoulder girdle. The onset of symptoms usually occurs in the first or second decade of life. Affected individuals usually present with impairment of upper extremity elevation. This tends to be followed by facial weakness, primarily involving the orbicularis oris and orbicularis oculi muscles."
"F2",http://purl.uniprot.org/diseases/2664,"FA2D","A very rare blood coagulation disorder characterized by mucocutaneous bleeding symptoms. The severity of the bleeding manifestations correlates with blood factor II levels."
"LMAN1",http://purl.uniprot.org/diseases/1546,"F5F8D1","A blood coagulation disorder characterized by bleeding symptoms similar to those in hemophilia or parahemophilia, that are caused by single deficiency of FV or FVIII, respectively. The most common symptoms are epistaxis, menorrhagia, and excessive bleeding during or after trauma. Plasma levels of coagulation factors V and VIII are in the range of 5 to 30% of normal."
"MCFD2",http://purl.uniprot.org/diseases/2942,"F5F8D2","A blood coagulation disorder characterized by bleeding symptoms similar to those in hemophilia or parahemophilia, that are caused by single deficiency of FV or FVIII, respectively. The most common symptoms are epistaxis, menorrhagia, and excessive bleeding during or after trauma. Plasma levels of coagulation factors V and VIII are in the range of 5 to 30% of normal."
"F5",http://purl.uniprot.org/diseases/486,"FA5D","A blood coagulation disorder leading to an hemorrhagic diathesis known as parahemophilia."
"F7",http://purl.uniprot.org/diseases/1541,"FA7D","A hemorrhagic disease with variable presentation. The clinical picture can be very severe, with the early occurrence of intracerebral hemorrhages or repeated hemarthroses, or, in contrast, moderate with cutaneous-mucosal hemorrhages (epistaxis, menorrhagia) or hemorrhages provoked by a surgical intervention. Finally, numerous subjects are completely asymptomatic despite very low factor VII levels."
"F10",http://purl.uniprot.org/diseases/3028,"FA10D","A hemorrhagic disease with variable presentation. Affected individuals can manifest prolonged nasal and mucosal hemorrhage, menorrhagia, hematuria, and occasionally hemarthrosis. Some patients do not have clinical bleeding diathesis."
"F11",http://purl.uniprot.org/diseases/1542,"FA11D","A hemorrhagic disease characterized by reduced levels and activity of factor XI resulting in moderate bleeding symptoms, usually occurring after trauma or surgery. Patients usually do not present spontaneous bleeding but women can present with menorrhagia. Hemorrhages are usually moderate."
"F12",http://purl.uniprot.org/diseases/487,"FA12D","An asymptomatic anomaly of in vitro blood coagulation. Its diagnosis is based on finding a low plasma activity of the factor in coagulating assays. It is usually only accidentally discovered through pre-operative blood tests. Factor XII deficiency is divided into two categories, a cross-reacting material (CRM)-negative group (negative F12 antigen detection) and a CRM-positive group (positive F12 antigen detection)."
"F13A1",http://purl.uniprot.org/diseases/1543,"FA13AD","An autosomal recessive hematologic disorder characterized by a life-long bleeding tendency, impaired wound healing and spontaneous abortion in affected women."
"F13B",http://purl.uniprot.org/diseases/2829,"FA13BD","An autosomal recessive hematologic disorder characterized by a life-long bleeding tendency, impaired wound healing and spontaneous abortion in affected women."
"NCSTN",http://purl.uniprot.org/diseases/2995,"ACNINV1","A chronic relapsing inflammatory disease of the hair follicles characterized by recurrent draining sinuses, painful skin abscesses, and disfiguring scars. Manifestations typically appear after puberty."
"PSENEN",http://purl.uniprot.org/diseases/2996,"ACNINV2","A chronic relapsing inflammatory disease of the hair follicles characterized by recurrent draining sinuses, painful skin abscesses, and disfiguring scars. Manifestations typically appear after puberty."
"PSEN1",http://purl.uniprot.org/diseases/2997,"ACNINV3","A chronic relapsing inflammatory disease of the hair follicles characterized by recurrent draining sinuses, painful skin abscesses, and disfiguring scars. Manifestations typically appear after puberty."
"MUTYH",http://purl.uniprot.org/diseases/1228,"FAP2","A condition characterized by the development of multiple colorectal adenomatous polyps, benign neoplasms derived from glandular epithelium. Some affected individuals may develop colorectal carcinoma."
"MYH11",http://purl.uniprot.org/diseases/128,"AAT4","A disease characterized by permanent dilation of the thoracic aorta usually due to degenerative changes in the aortic wall. It is primarily associated with a characteristic histologic appearance known as 'medial necrosis' or 'Erdheim cystic medial necrosis' in which there is degeneration and fragmentation of elastic fibers, loss of smooth muscle cells, and an accumulation of basophilic ground substance."
"ACTA2",http://purl.uniprot.org/diseases/130,"AAT6","A disease characterized by permanent dilation of the thoracic aorta usually due to degenerative changes in the aortic wall. It is primarily associated with a characteristic histologic appearance known as 'medial necrosis' or 'Erdheim cystic medial necrosis' in which there is degeneration and fragmentation of elastic fibers, loss of smooth muscle cells, and an accumulation of basophilic ground substance."
"MYLK",http://purl.uniprot.org/diseases/3062,"AAT7","A disease characterized by permanent dilation of the thoracic aorta usually due to degenerative changes in the aortic wall. It is primarily associated with a characteristic histologic appearance known as 'medial necrosis' or 'Erdheim cystic medial necrosis' in which there is degeneration and fragmentation of elastic fibers, loss of smooth muscle cells, and an accumulation of basophilic ground substance."
"TGFB3",http://purl.uniprot.org/diseases/1549,"ARVD1","A congenital heart disease characterized by infiltration of adipose and fibrous tissue into the right ventricle and loss of myocardial cells, resulting in ventricular and supraventricular arrhythmias."
"RYR2",http://purl.uniprot.org/diseases/1550,"ARVD2","A congenital heart disease characterized by infiltration of adipose and fibrous tissue into the right ventricle and loss of myocardial cells, resulting in ventricular and supraventricular arrhythmias."
"TMEM43",http://purl.uniprot.org/diseases/1551,"ARVD5","A congenital heart disease characterized by infiltration of adipose and fibrous tissue into the right ventricle and loss of myocardial cells, resulting in ventricular and supraventricular arrhythmias."
"DSP",http://purl.uniprot.org/diseases/1552,"ARVD8","A congenital heart disease characterized by infiltration of adipose and fibrous tissue into the right ventricle and loss of myocardial cells, resulting in ventricular and supraventricular arrhythmias."
"PKP2",http://purl.uniprot.org/diseases/1553,"ARVD9","A congenital heart disease characterized by infiltration of adipose and fibrous tissue into the right ventricle and loss of myocardial cells, resulting in ventricular and supraventricular arrhythmias."
"DSG2",http://purl.uniprot.org/diseases/1554,"ARVD10","A congenital heart disease characterized by infiltration of adipose and fibrous tissue into the right ventricle and loss of myocardial cells, resulting in ventricular and supraventricular arrhythmias."
"DSC2",http://purl.uniprot.org/diseases/1555,"ARVD11","A congenital heart disease characterized by infiltration of adipose and fibrous tissue into the right ventricle and loss of myocardial cells, resulting in ventricular and supraventricular arrhythmias."
"JUP",http://purl.uniprot.org/diseases/1556,"ARVD12","A congenital heart disease characterized by infiltration of adipose and fibrous tissue into the right ventricle and loss of myocardial cells, resulting in ventricular and supraventricular arrhythmias."
"KCNQ1",http://purl.uniprot.org/diseases/146,"ATFB3","An autosomal dominant form of atrial fibrillation, a common sustained cardiac rhythm disturbance. Atrial fibrillation is characterized by disorganized atrial electrical activity and ineffective atrial contraction promoting blood stasis in the atria and reduces ventricular filling. It can result in palpitations, syncope, thromboembolic stroke, and congestive heart failure."
"KCNE2",http://purl.uniprot.org/diseases/147,"ATFB4","A familial form of atrial fibrillation, a common sustained cardiac rhythm disturbance. Atrial fibrillation is characterized by disorganized atrial electrical activity and ineffective atrial contraction promoting blood stasis in the atria and reduces ventricular filling. It can result in palpitations, syncope, thromboembolic stroke, and congestive heart failure."
"NPPA",http://purl.uniprot.org/diseases/148,"ATFB6","A familial form of atrial fibrillation, a common sustained cardiac rhythm disturbance. Atrial fibrillation is characterized by disorganized atrial electrical activity and ineffective atrial contraction promoting blood stasis in the atria and reduces ventricular filling. It can result in palpitations, syncope, thromboembolic stroke, and congestive heart failure."
"KCNA5",http://purl.uniprot.org/diseases/149,"ATFB7","A familial form of atrial fibrillation, a common sustained cardiac rhythm disturbance. Atrial fibrillation is characterized by disorganized atrial electrical activity and ineffective atrial contraction promoting blood stasis in the atria and reduces ventricular filling. It can result in palpitations, syncope, thromboembolic stroke, and congestive heart failure."
"KCNJ2",http://purl.uniprot.org/diseases/3121,"ATFB9","A familial form of atrial fibrillation, a common sustained cardiac rhythm disturbance. Atrial fibrillation is characterized by disorganized atrial electrical activity and ineffective atrial contraction promoting blood stasis in the atria and reduces ventricular filling. It can result in palpitations, syncope, thromboembolic stroke, and congestive heart failure."
"SCN5A",http://purl.uniprot.org/diseases/3122,"ATFB10","A familial form of atrial fibrillation, a common sustained cardiac rhythm disturbance. Atrial fibrillation is characterized by disorganized atrial electrical activity and ineffective atrial contraction promoting blood stasis in the atria and reduces ventricular filling. It can result in palpitations, syncope, thromboembolic stroke, and congestive heart failure."
"GJA5",http://purl.uniprot.org/diseases/3142,"ATFB11","A familial form of atrial fibrillation, a common sustained cardiac rhythm disturbance. Atrial fibrillation is characterized by disorganized atrial electrical activity and ineffective atrial contraction promoting blood stasis in the atria and reduces ventricular filling. It can result in palpitations, syncope, thromboembolic stroke, and congestive heart failure."
"ABCC9",http://purl.uniprot.org/diseases/3143,"ATFB12","A familial form of atrial fibrillation, a common sustained cardiac rhythm disturbance. Atrial fibrillation is characterized by disorganized atrial electrical activity and ineffective atrial contraction promoting blood stasis in the atria and reduces ventricular filling. It can result in palpitations, syncope, thromboembolic stroke, and congestive heart failure."
"CDKN2A",http://purl.uniprot.org/diseases/1558,"FAMMMPC","An inherited cancer predisposition syndrome characterized by an increased risk of developing malignant melanoma and/or pancreatic cancer. Mutation carriers within families may develop either or both types of cancer."
"BRCA1",http://purl.uniprot.org/diseases/1559,"BROVCA1","A condition associated with familial predisposition to cancer of the breast and ovaries. Characteristic features in affected families are an early age of onset of breast cancer (often before age 50), increased chance of bilateral cancers (cancer that develop in both breasts, or both ovaries, independently), frequent occurrence of breast cancer among men, increased incidence of tumors of other specific organs, such as the prostate."
"BRCA2",http://purl.uniprot.org/diseases/2603,"BROVCA2","A condition associated with familial predisposition to cancer of the breast and ovaries. Characteristic features in affected families are an early age of onset of breast cancer (often before age 50), increased chance of bilateral cancers (cancer that develop in both breasts, or both ovaries, independently), frequent occurrence of breast cancer among men, increased incidence of tumors of other specific organs, such as the prostate."
"RAD51C",http://purl.uniprot.org/diseases/2774,"BROVCA3","A condition associated with familial predisposition to cancer of the breast and ovaries. Characteristic features in affected families are an early age of onset of breast cancer (often before age 50), increased chance of bilateral cancers (cancer that develop in both breasts, or both ovaries, independently), frequent occurrence of breast cancer among men, increased incidence of tumors of other specific organs, such as the prostate."
"RAD51D",http://purl.uniprot.org/diseases/3288,"BROVCA4","A condition associated with familial predisposition to cancer of the breast and ovaries. Characteristic features in affected families are an early age of onset of breast cancer (often before age 50), increased chance of bilateral cancers (cancer that develop in both breasts, or both ovaries, independently), frequent occurrence of breast cancer among men, increased incidence of tumors of other specific organs, such as the prostate."
"CARD9",http://purl.uniprot.org/diseases/2578,"CANDF2","A primary immunodeficiency disorder with altered immune responses and impaired clearance of fungal infections, selective against Candida. It is characterized by persistent and/or recurrent infections of the skin, nails and mucous membranes caused by organisms of the genus Candida, mainly Candida albicans."
"CLEC7A",http://purl.uniprot.org/diseases/2808,"CANDF4","A primary immunodeficiency disorder with altered immune responses and impaired clearance of fungal infections, selective against Candida. It is characterized by persistent and/or recurrent infections of the skin, nails and mucous membranes caused by organisms of the genus Candida, mainly Candida albicans."
"IL17RA",http://purl.uniprot.org/diseases/3104,"CANDF5","A primary immunodeficiency disorder with altered immune responses and impaired clearance of fungal infections, selective against Candida. It is characterized by persistent and/or recurrent infections of the skin, nails and mucous membranes caused by organisms of the genus Candida, mainly Candida albicans."
"IL17F",http://purl.uniprot.org/diseases/3125,"CANDF6","A primary immunodeficiency disorder with altered immune responses and impaired clearance of fungal infections, selective against Candida. It is characterized by persistent and/or recurrent infections of the skin, nails and mucous membranes caused by organisms of the genus Candida, mainly Candida albicans."
"STAT1",http://purl.uniprot.org/diseases/3179,"CANDF7","A primary immunodeficiency disorder with altered immune responses and impaired clearance of fungal infections, selective against Candida. It is characterized by persistent and/or recurrent infections of the skin, nails and mucous membranes caused by organisms of the genus Candida, mainly Candida albicans."
"NLRP3",http://purl.uniprot.org/diseases/1561,"FCAS1","A rare autosomal dominant systemic inflammatory disease characterized by recurrent episodes of maculopapular rash associated with arthralgias, myalgias, fever and chills, swelling of the extremities, and conjunctivitis after generalized exposure to cold. Rarely, some patients may also develop late-onset renal amyloidosis."
"NLRP12",http://purl.uniprot.org/diseases/1562,"FCAS2","A rare autosomal dominant systemic inflammatory disease characterized by recurrent episodes of maculopapular rash associated with arthralgias, myalgias, fever and chills, swelling of the extremities, and conjunctivitis after generalized exposure to cold."
"PLCG2",http://purl.uniprot.org/diseases/3380,"FCAS3","An autosomal dominant immune disorder characterized by the development of cutaneous urticaria, erythema, and pruritis in response to cold exposure. Affected individuals have variable additional immunologic defects, including antibody deficiency, decreased numbers of B cells, defective B cells, increased susceptibility to infection, and increased risk of autoimmune disorders."
"EPOR",http://purl.uniprot.org/diseases/479,"ECYT1","An autosomal dominant disorder characterized by increased serum red blood cell mass, elevated hemoglobin and hematocrit, hypersensitivity of erythroid progenitors to erythropoietin, erythropoietin low serum levels, and no increase in platelets nor leukocytes. It has a relatively benign course and does not progress to leukemia."
"VHL",http://purl.uniprot.org/diseases/480,"ECYT2","An autosomal recessive disorder characterized by an increase in serum red blood cell mass, hypersensitivity of erythroid progenitors to erythropoietin, increased erythropoietin serum levels, and normal oxygen affinity. Patients with ECYT2 carry a high risk for peripheral thrombosis and cerebrovascular events."
"EGLN1",http://purl.uniprot.org/diseases/481,"ECYT3","An autosomal dominant disorder characterized by increased serum red blood cell mass, elevated serum hemoglobin and hematocrit, and normal serum erythropoietin levels."
"EPAS1",http://purl.uniprot.org/diseases/482,"ECYT4","An autosomal dominant disorder characterized by increased serum red blood cell mass, elevated serum hemoglobin and hematocrit, and normal platelet and leukocyte counts."
"SCN1A",http://purl.uniprot.org/diseases/488,"FEB3A","Seizures associated with febrile episodes in childhood without any evidence of intracranial infection or defined pathologic or traumatic cause. It is a common condition, affecting 2-5% of children aged 3 months to 5 years. The majority are simple febrile seizures (generally defined as generalized onset, single seizures with a duration of less than 30 minutes). Complex febrile seizures are characterized by focal onset, duration greater than 30 minutes, and/or more than one seizure in a 24 hour period. The likelihood of developing epilepsy following simple febrile seizures is low. Complex febrile seizures are associated with a moderately increased incidence of epilepsy."
"SCN9A",http://purl.uniprot.org/diseases/2932,"FEB3B","Seizures associated with febrile episodes in childhood without any evidence of intracranial infection or defined pathologic or traumatic cause. It is a common condition, affecting 2-5% of children aged 3 months to 5 years. The majority are simple febrile seizures (generally defined as generalized onset, single seizures with a duration of less than 30 minutes). Complex febrile seizures are characterized by focal onset, duration greater than 30 minutes, and/or more than one seizure in a 24 hour period. The likelihood of developing epilepsy following simple febrile seizures is low. Complex febrile seizures are associated with a moderately increased incidence of epilepsy."
"GPR98",http://purl.uniprot.org/diseases/489,"FEB4","Seizures associated with febrile episodes in childhood without any evidence of intracranial infection or defined pathologic or traumatic cause. It is a common condition, affecting 2-5% of children aged 3 months to 5 years. The majority are simple febrile seizures (generally defined as generalized onset, single seizures with a duration of less than 30 minutes). Complex febrile seizures are characterized by focal onset, duration greater than 30 minutes, and/or more than one seizure in a 24 hour period. The likelihood of developing epilepsy following simple febrile seizures is low. Complex febrile seizures are associated with a moderately increased incidence of epilepsy."
"GABRG2",http://purl.uniprot.org/diseases/490,"FEB8","Seizures associated with febrile episodes in childhood without any evidence of intracranial infection or defined pathologic or traumatic cause. It is a common condition, affecting 2-5% of children aged 3 months to 5 years. The majority are simple febrile seizures (generally defined as generalized onset, single seizures with a duration of less than 30 minutes). Complex febrile seizures are characterized by focal onset, duration greater than 30 minutes, and/or more than one seizure in a 24 hour period. The likelihood of developing epilepsy following simple febrile seizures is low. Complex febrile seizures are associated with a moderately increased incidence of epilepsy."
"CPA6",http://purl.uniprot.org/diseases/3335,"FEB11","Seizures associated with febrile episodes in childhood without any evidence of intracranial infection or defined pathologic or traumatic cause. It is a common condition, affecting 2-5% of children aged 3 months to 5 years. The majority are simple febrile seizures (generally defined as generalized onset, single seizures with a duration of less than 30 minutes). Complex febrile seizures are characterized by focal onset, duration greater than 30 minutes, and/or more than one seizure in a 24 hour period. The likelihood of developing epilepsy following simple febrile seizures is low. Complex febrile seizures are associated with a moderately increased incidence of epilepsy."
"TSHR",http://purl.uniprot.org/diseases/2821,"HTFG","A condition characterized by abnormally high levels of serum thyroid hormones occurring during early pregnancy."
"CACNA1A",http://purl.uniprot.org/diseases/1570,"FHM1","A subtype of migraine with aura associated with ictal hemiparesis and, in some families, cerebellar ataxia and atrophy. Migraine is a disabling symptom complex of periodic headaches, usually temporal and unilateral. Headaches are often accompanied by irritability, nausea, vomiting and photophobia, preceded by constriction of the cranial arteries. Migraine with aura is characterized by recurrent attacks of reversible neurological symptoms (aura) that precede or accompany the headache. Aura may include a combination of sensory disturbances, such as blurred vision, hallucinations, vertigo, numbness and difficulty in concentrating and speaking."
"ATP1A2",http://purl.uniprot.org/diseases/1571,"FHM2","A subtype of migraine with aura associated with hemiparesis in some families. Migraine is a disabling symptom complex of periodic headaches, usually temporal and unilateral. Headaches are often accompanied by irritability, nausea, vomiting and photophobia, preceded by constriction of the cranial arteries. Migraine with aura is characterized by recurrent attacks of reversible neurological symptoms (aura) that precede or accompany the headache. Aura may include a combination of sensory disturbances, such as blurred vision, hallucinations, vertigo, numbness and difficulty in concentrating and speaking."
